ten,twen,threefive,fifty,sixty,sevenfive,nine
46.0,46.4,44.4,41.6,41.6,36.0,26.8
43.5714285714,43.2142857143,41.7857142857,40.3571428571,36.0714285714,32.5,18.9285714286
45.7894736842,44.7368421053,41.3157894737,38.6842105263,34.7368421053,28.4210526316,11.0526315789
47.1428571429,46.4285714286,46.7857142857,42.5,40.0,37.5,20.7142857143
43.6666666667,43.3333333333,41.6666666667,39.6666666667,35.3333333333,30.3333333333,19.0
45.5172413793,43.7931034483,42.0689655172,38.275862069,35.8620689655,31.724137931,17.2413793103
46.8965517241,46.5517241379,43.4482758621,40.6896551724,36.8965517241,32.4137931034,21.0344827586
47.1428571429,46.4285714286,45.0,42.1428571429,38.5714285714,35.0,18.5714285714
47.3529411765,46.4705882353,45.0,41.7647058824,39.4117647059,35.0,19.4117647059
49.4594594595,48.6486486486,46.2162162162,42.1621621622,40.0,33.5135135135,18.9189189189
45.8620689655,45.1724137931,44.4827586207,43.4482758621,38.275862069,35.5172413793,18.9655172414
44.7058823529,42.9411764706,41.4705882353,39.1176470588,38.5294117647,34.4117647059,18.8235294118
46.0526315789,45.7894736842,43.9473684211,39.4736842105,37.6315789474,31.5789473684,18.9473684211
42.2580645161,41.6129032258,41.2903225806,38.3870967742,35.4838709677,29.6774193548,17.0967741935
47.8378378378,47.2972972973,45.4054054054,44.3243243243,39.7297297297,33.7837837838,20.0
47.2413793103,46.5517241379,42.7586206897,41.724137931,38.6206896552,33.4482758621,20.0
48.0952380952,47.619047619,42.8571428571,41.4285714286,38.5714285714,34.2857142857,22.8571428571
48.5714285714,47.1428571429,48.0952380952,42.380952381,40.9523809524,36.6666666667,26.1904761905
47.2413793103,45.8620689655,43.7931034483,37.9310344828,38.275862069,31.3793103448,21.3793103448
48.5714285714,47.619047619,47.619047619,42.8571428571,40.9523809524,37.1428571429,24.7619047619
45.1724137931,44.8275862069,42.0689655172,38.6206896552,35.5172413793,31.724137931,17.2413793103
48.9473684211,47.3684210526,44.7368421053,44.7368421053,38.9473684211,31.5789473684,25.2631578947
44.6428571429,43.2142857143,41.7857142857,38.5714285714,35.7142857143,31.0714285714,19.6428571429
47.0,47.6666666667,44.0,40.3333333333,41.0,31.6666666667,20.3333333333
48.2857142857,45.7142857143,45.7142857143,42.5714285714,39.7142857143,33.7142857143,20.8571428571
48.6363636364,46.8181818182,45.0,38.6363636364,37.7272727273,37.2727272727,26.8181818182
45.5555555556,44.1666666667,42.2222222222,39.1666666667,33.6111111111,27.7777777778,12.5
46.0,45.4285714286,45.1428571429,41.1428571429,35.4285714286,29.1428571429,14.2857142857
49.4594594595,48.1081081081,44.0540540541,41.8918918919,38.9189189189,33.2432432432,18.9189189189
49.6296296296,49.6296296296,48.5185185185,42.2222222222,40.7407407407,35.9259259259,21.8518518519
49.2857142857,46.4285714286,45.0,42.5,40.0,33.5714285714,18.9285714286
44.375,44.6875,44.0625,42.5,39.375,33.75,19.0625
43.7931034483,43.4482758621,42.7586206897,42.0689655172,37.9310344828,33.1034482759,18.9655172414
46.7857142857,46.0714285714,45.3571428571,43.2142857143,39.6428571429,35.0,21.7857142857
46.5217391304,45.2173913043,43.0434782609,40.4347826087,39.1304347826,32.6086956522,24.347826087
46.4705882353,45.5882352941,44.7058823529,42.3529411765,40.8823529412,32.6470588235,20.5882352941
48.5714285714,46.6666666667,47.619047619,40.4761904762,40.0,31.4285714286,24.2857142857
49.6551724138,47.9310344828,45.5172413793,41.724137931,40.0,34.8275862069,20.6896551724
50.0,48.7878787879,45.7575757576,43.3333333333,41.8181818182,35.4545454545,20.6060606061
46.5517241379,45.1724137931,44.1379310345,41.3793103448,38.275862069,34.8275862069,21.0344827586
43.5714285714,43.2142857143,41.7857142857,40.3571428571,36.0714285714,32.5,18.9285714286
47.5,47.0,44.5,42.5,39.5,36.0,25.5
46.4516129032,46.4516129032,45.1612903226,42.2580645161,42.9032258065,36.1290322581,20.6451612903
48.9655172414,47.2413793103,44.4827586207,40.6896551724,40.0,33.4482758621,18.6206896552
46.8965517241,45.8620689655,41.3793103448,39.3103448276,37.5862068966,33.1034482759,19.6551724138
45.5172413793,45.5172413793,44.4827586207,43.4482758621,38.9655172414,35.8620689655,18.9655172414
48.0952380952,48.0952380952,47.1428571429,42.380952381,40.0,30.9523809524,23.3333333333
47.2972972973,46.2162162162,44.0540540541,42.4324324324,38.6486486486,34.0540540541,20.2702702703
48.3333333333,47.9166666667,47.5,44.5833333333,43.3333333333,35.8333333333,25.4166666667
47.3529411765,46.7647058824,42.3529411765,39.1176470588,38.8235294118,32.9411764706,19.1176470588
45.75,45.5,43.75,38.5,36.25,29.25,11.75
47.1428571429,44.2857142857,43.8095238095,38.0952380952,39.5238095238,32.8571428571,24.2857142857
48.75,47.0833333333,45.8333333333,42.5,40.8333333333,40.0,26.6666666667
47.0,47.0,43.6666666667,41.0,38.0,32.0,17.3333333333
43.5714285714,42.8571428571,42.8571428571,39.2857142857,36.7857142857,31.4285714286,22.1428571429
46.0869565217,44.7826086957,43.9130434783,40.8695652174,37.3913043478,34.347826087,24.7826086957
46.1538461538,45.641025641,44.1025641026,41.7948717949,37.9487179487,28.2051282051,13.5897435897
46.8965517241,45.8620689655,41.0344827586,40.0,38.9655172414,30.0,20.6896551724
45.5172413793,43.7931034483,42.0689655172,38.275862069,35.8620689655,31.724137931,17.2413793103
49.3103448276,47.9310344828,45.5172413793,42.0689655172,40.3448275862,37.9310344828,20.0
49.5,48.5,45.5,45.0,42.0,34.5,29.0
48.5,46.0,45.5,43.5,39.5,37.5,25.0
45.5172413793,44.4827586207,41.3793103448,38.275862069,35.1724137931,32.4137931034,20.6896551724
48.1818181818,47.2727272727,45.0,42.2727272727,39.5454545455,34.0909090909,23.6363636364
50.0,49.1666666667,48.75,45.0,38.75,36.6666666667,25.8333333333
48.7096774194,46.7741935484,43.8709677419,40.9677419355,39.0322580645,31.2903225806,17.0967741935
