ten,twen,threefive,fifty,sixty,sevenfive,nine
48.8888888889,46.6666666667,47.7777777778,43.3333333333,41.1111111111,35.5555555556,17.7777777778
50.0,50.0,48.8888888889,50.0,48.8888888889,47.7777777778,35.5555555556
48.5714285714,47.1428571429,48.5714285714,42.8571428571,40.0,44.2857142857,15.7142857143
44.0,45.0,39.0,39.0,35.0,33.0,20.0
48.75,48.75,48.75,48.75,47.5,43.75,28.75
46.3636363636,45.4545454545,44.5454545455,42.7272727273,40.0,35.4545454545,24.5454545455
45.0,44.0,43.0,38.0,37.0,32.0,14.0
49.375,47.5,46.25,42.5,43.125,35.625,16.875
46.0,44.6666666667,46.0,38.0,36.0,30.6666666667,16.0
47.5,46.25,46.875,44.375,38.75,31.875,16.875
49.3333333333,48.0,47.3333333333,44.0,44.0,34.6666666667,26.0
48.75,48.75,47.5,41.25,37.5,28.75,13.75
50.0,50.0,50.0,44.0,46.0,44.0,31.0
49.2307692308,50.0,47.6923076923,47.6923076923,42.3076923077,35.3846153846,19.2307692308
50.0,50.0,50.0,40.0,42.5,40.0,25.0
48.5714285714,46.4285714286,48.5714285714,45.0,43.5714285714,37.1428571429,20.7142857143
48.5714285714,49.2857142857,47.1428571429,41.4285714286,40.7142857143,35.7142857143,22.8571428571
40.9090909091,40.9090909091,40.0,38.1818181818,35.4545454545,26.3636363636,17.2727272727
50.0,50.0,50.0,50.0,50.0,50.0,43.3333333333
49.2857142857,49.2857142857,48.5714285714,47.1428571429,43.5714285714,36.4285714286,20.0
49.2857142857,47.1428571429,47.1428571429,43.5714285714,44.2857142857,38.5714285714,20.0
50.0,50.0,50.0,50.0,50.0,50.0,46.6666666667
47.8571428571,45.7142857143,44.2857142857,40.7142857143,37.8571428571,32.1428571429,15.7142857143
50.0,48.0,44.0,41.0,39.0,37.0,25.0
50.0,50.0,49.0,48.0,48.0,46.0,30.0
47.0,48.0,46.0,42.0,43.0,33.0,18.0
50.0,48.6666666667,46.0,40.6666666667,40.0,31.3333333333,16.6666666667
43.8461538462,43.8461538462,42.3076923077,40.7692307692,39.2307692308,33.8461538462,15.3846153846
49.2857142857,49.2857142857,45.0,42.1428571429,41.4285714286,35.0,19.2857142857
46.6666666667,48.3333333333,48.3333333333,46.6666666667,40.0,32.5,23.3333333333
49.375,47.5,49.375,41.875,43.75,31.25,20.0
50.0,50.0,49.0,48.0,44.0,40.0,16.0
44.4444444444,44.4444444444,43.3333333333,43.3333333333,42.2222222222,38.8888888889,16.6666666667
50.0,48.125,45.625,41.875,41.25,33.125,17.5
47.8571428571,48.5714285714,45.7142857143,43.5714285714,41.4285714286,35.0,16.4285714286
49.2307692308,50.0,47.6923076923,47.6923076923,42.3076923077,35.3846153846,19.2307692308
46.6666666667,46.6666666667,45.5555555556,37.7777777778,36.6666666667,34.4444444444,20.0
40.9090909091,40.9090909091,40.0,39.0909090909,34.5454545455,30.0,18.1818181818
49.1666666667,44.1666666667,47.5,45.0,43.3333333333,39.1666666667,26.6666666667
48.8888888889,48.8888888889,48.8888888889,44.4444444444,42.2222222222,31.1111111111,13.3333333333
40.0,39.0,39.0,38.0,33.0,32.0,21.0
40.9090909091,40.9090909091,39.0909090909,38.1818181818,33.6363636364,31.8181818182,17.2727272727
47.2727272727,47.2727272727,47.2727272727,44.5454545455,39.0909090909,38.1818181818,17.2727272727
46.3636363636,46.3636363636,46.3636363636,40.9090909091,40.0,37.2727272727,16.3636363636
40.0,39.0909090909,36.3636363636,34.5454545455,33.6363636364,27.2727272727,14.5454545455
49.1666666667,48.3333333333,44.1666666667,44.1666666667,42.5,34.1666666667,20.8333333333
50.0,50.0,50.0,45.0,48.0,44.0,26.0
44.7058823529,42.3529411765,41.1764705882,40.0,34.7058823529,31.1764705882,15.2941176471
49.2307692308,49.2307692308,48.4615384615,46.1538461538,40.0,33.8461538462,18.4615384615
50.0,50.0,47.5,41.25,43.75,41.25,17.5
50.0,50.0,49.0909090909,49.0909090909,40.9090909091,38.1818181818,26.3636363636
50.0,50.0,46.6666666667,45.0,44.1666666667,40.0,19.1666666667
46.3636363636,45.4545454545,44.5454545455,42.7272727273,39.0909090909,35.4545454545,23.6363636364
50.0,50.0,48.5714285714,45.7142857143,44.2857142857,40.0,17.1428571429
50.0,50.0,50.0,47.5,47.5,43.75,27.5
50.0,50.0,50.0,48.75,46.25,41.25,18.75
