,sevenfive
599,50.0
468,47.0
441,46.6666666667
180,46.25
745,46.0
546,45.714285714300004
811,45.0
437,45.0
835,45.0
4,43.75
650,43.75
741,43.75
318,43.75
409,42.5
882,42.5
525,42.5
287,41.4285714286
796,41.25
841,41.25
591,40.9090909091
335,40.8333333333
196,40.0
518,40.0
751,40.0
211,40.0
91,40.0
845,40.0
396,40.0
51,40.0
630,40.0
347,40.0
297,39.2857142857
119,38.8888888889
353,38.75
691,38.75
307,38.75
205,38.0
692,37.8571428571
878,37.777777777800004
865,37.5
810,37.5
664,37.2727272727
96,37.1428571429
544,37.0
351,37.0
372,36.875
677,36.6666666667
131,36.6666666667
417,36.4705882353
75,36.3636363636
826,36.3636363636
625,36.25
151,36.25
526,36.1538461538
901,36.0
338,36.0
839,36.0
66,35.8823529412
83,35.8333333333
748,35.8333333333
744,35.7142857143
369,35.7142857143
920,35.7142857143
858,35.5555555556
0,35.5555555556
661,35.4545454545
561,35.4545454545
357,35.3846153846
155,35.0
175,35.0
57,35.0
531,35.0
484,34.7058823529
10,34.6666666667
458,34.6153846154
943,34.5454545455
935,34.5454545455
760,34.2857142857
783,34.2857142857
520,34.1666666667
203,34.1666666667
536,34.1666666667
48,33.8461538462
422,33.75
581,33.75
485,33.6363636364
765,33.6363636364
573,33.6363636364
534,33.5294117647
108,33.3333333333
366,33.3333333333
638,33.125
128,33.0
462,33.0
818,33.0
510,32.9411764706
134,32.8571428571
305,32.7272727273
939,32.5
453,32.5
926,32.5
114,32.3076923077
98,32.3076923077
885,32.0
545,31.818181818200003
428,31.4285714286
931,31.3333333333
47,31.1764705882
704,31.0
411,30.909090909099998
592,30.7692307692
894,30.7692307692
74,30.625
65,30.4761904762
79,30.0
750,30.0
274,30.0
660,30.0
355,29.4117647059
910,29.3333333333
497,29.2307692308
332,29.090909090900002
218,28.8888888889
570,28.8235294118
383,28.181818181799997
557,28.181818181799997
61,28.0
289,27.6923076923
449,26.9230769231
