,twen
141,50.0
544,50.0
473,50.0
166,50.0
347,50.0
171,50.0
870,50.0
187,50.0
338,50.0
878,50.0
664,50.0
369,50.0
467,50.0
468,50.0
353,50.0
156,50.0
119,50.0
818,50.0
811,50.0
478,50.0
320,50.0
845,50.0
223,50.0
692,50.0
677,50.0
517,50.0
51,50.0
411,50.0
49,50.0
645,50.0
744,50.0
943,50.0
417,49.411764705900005
810,49.375
800,49.375
560,49.285714285699996
822,49.285714285699996
28,49.285714285699996
611,49.285714285699996
134,49.285714285699996
526,49.2307692308
520,49.1666666667
453,49.1666666667
900,49.0909090909
332,49.0909090909
935,49.0909090909
462,49.0
351,49.0
299,49.0
885,49.0
82,49.0
251,49.0
79,49.0
76,48.888888888900006
131,48.888888888900006
650,48.75
625,48.75
193,48.75
638,48.75
151,48.75
4,48.75
796,48.75
437,48.75
835,48.75
307,48.75
525,48.75
741,48.75
318,48.75
219,48.6666666667
57,48.571428571400006
920,48.571428571400006
660,48.571428571400006
894,48.4615384615
366,48.3333333333
532,48.181818181800004
561,48.181818181800004
826,48.181818181800004
305,48.181818181800004
383,48.181818181800004
372,48.125
422,48.125
10,48.0
421,47.8571428571
858,47.7777777778
393,47.7777777778
458,47.6923076923
81,47.6923076923
66,47.647058823500004
534,47.647058823500004
128,47.5
428,47.1428571429
65,47.1428571429
531,47.0
751,46.923076923100005
396,46.923076923100005
637,46.875
856,46.6666666667
848,46.6666666667
931,46.6666666667
748,46.6666666667
203,46.6666666667
591,46.363636363599994
98,46.1538461538
704,46.0
510,45.8823529412
484,45.8823529412
83,45.8333333333
661,45.4545454545
75,45.4545454545
355,45.2941176471
750,44.7058823529
485,44.5454545455
218,44.4444444444
449,43.8461538462
865,43.75
939,43.75
557,43.636363636400006
274,43.636363636400006
573,43.636363636400006
910,43.3333333333
765,42.7272727273
47,42.3529411765
197,42.3076923077
114,42.3076923077
592,42.3076923077
175,41.6666666667
536,41.6666666667
61,41.0
570,40.588235294099995
