,nine
738,30.0
794,30.0
867,29.090909090900002
60,29.0
609,28.947368421100002
169,28.5
263,28.2608695652
519,28.0952380952
82,28.0952380952
340,28.0952380952
588,28.0
680,27.894736842100002
502,27.8260869565
900,27.5
342,27.5
558,27.2727272727
822,27.2
699,27.1428571429
563,27.0
579,27.0
25,26.818181818200003
810,26.818181818200003
0,26.8
853,26.6666666667
165,26.6666666667
652,26.5217391304
132,26.5
160,26.3636363636
950,26.3636363636
481,26.190476190500004
896,26.190476190500004
137,26.190476190500004
153,26.0
823,25.909090909099998
899,25.6
597,25.6
774,25.5
197,25.5
326,25.5
345,25.4545454545
21,25.263157894699997
177,25.238095238099998
947,25.217391304299998
109,25.0
61,25.0
505,25.0
240,25.0
892,25.0
710,25.0
199,24.782608695700002
791,24.761904761900002
877,24.761904761900002
953,24.5454545455
911,24.5
804,24.4
344,24.4
796,24.347826086999998
288,24.285714285700003
734,24.285714285700003
613,24.090909090900002
179,24.0
462,24.0
483,24.0
862,23.809523809499996
839,23.7931034483
486,23.684210526300003
809,23.6666666667
700,23.225806451599997
501,23.214285714299997
392,23.181818181799997
942,23.043478260900002
422,22.7586206897
573,22.6923076923
449,22.6470588235
299,22.3529411765
714,22.2727272727
746,22.1428571429
54,22.1428571429
424,22.0689655172
808,21.764705882399998
733,21.724137930999998
274,21.6666666667
204,21.6666666667
256,21.6666666667
303,21.6129032258
840,21.6129032258
683,21.6129032258
358,21.5151515152
172,21.4814814815
275,21.4705882353
390,21.4705882353
752,21.3513513514
881,21.3513513514
116,21.3333333333
651,21.290322580599998
617,21.111111111099998
905,21.111111111099998
763,21.111111111099998
353,21.111111111099998
671,21.071428571400002
156,21.071428571400002
747,21.0
894,20.9677419355
73,20.9677419355
916,20.9677419355
320,20.9375
140,20.8571428571
932,20.8333333333
404,20.8333333333
62,20.6896551724
518,20.6666666667
42,20.6451612903
232,20.606060606099998
35,20.588235294100002
312,20.588235294100002
111,20.588235294100002
266,20.588235294100002
129,20.571428571400002
760,20.3571428571
139,20.3225806452
122,20.2857142857
442,20.2631578947
365,20.0
625,20.0
267,20.0
724,20.0
647,20.0
348,19.7222222222
472,19.696969697
403,19.655172413800003
848,19.4736842105
612,19.444444444400002
527,19.428571428599998
772,19.3548387097
290,19.3333333333
935,19.2307692308
539,19.1428571429
598,19.0322580645
431,18.888888888900002
168,18.8571428571
512,18.7878787879
608,18.75
657,18.3870967742
693,18.3870967742
280,18.3870967742
736,18.3333333333
89,18.3333333333
253,18.275862069000002
755,18.125
159,16.7741935484
315,14.8648648649
601,14.358974359000001
807,14.0
591,13.846153846199998
654,13.243243243199998
445,13.0769230769
366,13.0555555556
305,12.75
621,12.6315789474
568,12.1621621622
233,12.0
628,11.621621621600001
