,threefive
652,49.5652173913
392,49.5454545455
950,49.0909090909
877,49.0476190476
64,48.75
276,48.6956521739
853,48.571428571400006
648,48.571428571400006
862,48.571428571400006
29,48.5185185185
870,48.4615384615
320,48.4375
683,48.3870967742
165,48.3333333333
279,48.260869565200004
940,48.214285714300004
121,48.181818181800004
890,48.181818181800004
395,48.0952380952
17,48.0952380952
184,48.0952380952
896,48.0952380952
753,48.0952380952
904,48.0952380952
369,48.0
326,48.0
577,48.0
769,47.931034482799994
220,47.9166666667
613,47.7272727273
240,47.7272727273
745,47.7272727273
734,47.61904761899999
82,47.61904761899999
344,47.6
607,47.5862068966
710,47.5
101,47.5
863,47.5
760,47.5
374,47.5
894,47.4193548387
751,47.368421052600006
449,47.352941176499996
851,47.352941176499996
160,47.2727272727
714,47.2727272727
800,47.1428571429
140,47.1428571429
840,47.0967741935
342,47.0
823,46.818181818199996
557,46.6666666667
791,46.6666666667
168,46.571428571400006
199,46.5217391304
738,46.5
902,46.5
911,46.5
303,46.451612903199994
885,46.451612903199994
256,46.388888888900006
478,46.25
187,46.111111111099994
431,46.111111111099994
934,46.0869565217
122,46.0
773,46.0
132,46.0
179,46.0
722,45.8333333333
487,45.8064516129
609,45.789473684200004
379,45.789473684200004
752,45.6756756757
69,45.6666666667
518,45.6666666667
111,45.588235294099995
848,45.526315789499996
442,45.526315789499996
59,45.5172413793
61,45.5
197,45.5
462,45.5
139,45.48387096770001
707,45.48387096770001
73,45.48387096770001
867,45.4545454545
129,45.428571428599994
527,45.428571428599994
290,45.3333333333
390,45.2941176471
612,45.2777777778
486,45.2631578947
177,45.2380952381
816,45.1612903226
42,45.1612903226
460,45.15151515149999
27,45.1428571429
86,45.1428571429
604,45.0
748,45.0
25,45.0
684,45.0
539,44.8571428571
483,44.8
72,44.7826086957
481,44.7619047619
305,44.75
348,44.7222222222
35,44.7058823529
89,44.6666666667
403,44.4827586207
537,44.411764705900005
899,44.4
597,44.4
0,44.4
796,44.347826087
512,44.2424242424
843,44.2424242424
657,44.1935483871
117,44.1666666667
422,44.1379310345
445,44.1025641026
892,44.0909090909
232,43.9393939394
109,43.928571428599994
185,43.928571428599994
55,43.9130434783
502,43.9130434783
267,43.7931034483
172,43.7037037037
956,43.5135135135
608,43.4375
617,43.3333333333
209,43.3333333333
330,43.214285714300004
953,43.181818181800004
935,43.076923076899995
563,43.0
266,42.9411764706
280,42.903225806500004
54,42.8571428571
905,42.777777777800004
628,42.7027027027
241,42.6086956522
724,42.5806451613
472,42.4242424242
365,42.4242424242
809,42.3333333333
755,42.1875
568,42.1621621622
807,42.0
233,42.0
671,41.7857142857
159,41.6129032258
62,41.3793103448
932,41.25
654,41.0810810811
156,41.0714285714
253,40.689655172399995
736,40.6666666667
