,sixty
703,44.4827586207
869,43.928571428599994
155,43.870967741899996
191,43.8461538462
407,42.8571428571
878,42.8571428571
786,42.758620689699995
893,42.6923076923
731,42.5
355,42.368421052600006
493,42.222222222199996
763,42.121212121199996
125,42.0
906,41.8518518519
297,41.8518518519
287,41.7857142857
161,41.7857142857
530,41.6666666667
43,41.6666666667
815,41.6
825,41.5
330,41.4285714286
121,41.4285714286
48,41.3888888889
23,41.3043478261
130,41.3043478261
124,41.2195121951
537,41.2
424,41.1904761905
597,41.176470588200004
867,41.1111111111
250,41.1111111111
147,41.1111111111
303,41.0344827586
753,40.740740740700005
542,40.740740740700005
394,40.740740740700005
165,40.7142857143
744,40.7142857143
585,40.5555555556
423,40.512820512800005
859,40.4545454545
387,40.4444444444
344,40.3448275862
678,40.3125
449,40.2857142857
504,40.256410256399995
324,40.243902439
127,40.2325581395
518,40.2173913043
565,40.0
573,40.0
839,40.0
548,40.0
1,40.0
649,40.0
879,40.0
329,40.0
644,39.7826086957
561,39.7727272727
510,39.7674418605
666,39.7619047619
593,39.75
620,39.7368421053
15,39.7058823529
82,39.6551724138
163,39.6428571429
334,39.6428571429
168,39.629629629600004
686,39.6153846154
771,39.6153846154
224,39.6153846154
486,39.6
533,39.5454545455
51,39.487179487199995
634,39.473684210500004
83,39.411764705900005
572,39.387755102
171,39.347826087
693,39.3181818182
67,39.3023255814
174,39.259259259299995
671,39.25
633,39.2307692308
299,39.1428571429
427,39.1176470588
247,39.0909090909
321,39.0625
226,38.9743589744
187,38.9655172414
691,38.9189189189
590,38.8888888889
210,38.8888888889
19,38.8571428571
712,38.8372093023
837,38.8
58,38.6956521739
545,38.6363636364
746,38.6046511628
357,38.5714285714
150,38.5714285714
73,38.5
617,38.4210526316
775,38.4090909091
920,38.4090909091
536,38.4090909091
71,38.3783783784
111,38.3333333333
576,38.2857142857
272,38.2857142857
808,38.1818181818
675,38.1481481481
515,38.125
219,38.125
415,38.1081081081
553,38.1081081081
750,38.0487804878
342,38.0434782609
112,38.0
238,37.9411764706
216,37.8723404255
541,37.8378378378
566,37.6086956522
739,37.5
206,37.5
283,37.4074074074
403,37.368421052600006
456,37.368421052600006
21,37.3529411765
114,37.25
758,37.1739130435
398,37.1428571429
38,37.037037037
514,37.027027026999995
11,37.027027026999995
616,37.027027026999995
471,36.8888888889
531,36.8181818182
910,36.7567567568
602,36.7567567568
481,36.7567567568
458,36.7567567568
903,36.6666666667
263,36.5306122449
383,36.5217391304
622,36.4
385,36.2857142857
439,36.176470588200004
370,35.8823529412
480,35.8333333333
96,35.625
24,35.5319148936
45,35.4285714286
429,35.3333333333
467,35.1063829787
575,35.1063829787
44,35.0
360,35.0
268,34.4
539,34.2857142857
624,34.1666666667
79,34.0
918,33.5416666667
681,33.0612244898
857,33.0434782609
830,32.8260869565
144,32.5
