,fifty
365,45.428571428599994
302,45.0
897,44.7222222222
262,44.6153846154
801,44.4444444444
245,44.390243902399995
667,44.31372549020001
33,44.210526315799996
763,44.1025641026
620,44.1025641026
272,44.0
583,43.947368421099995
456,43.9393939394
312,43.783783783800004
283,43.6842105263
668,43.611111111099994
807,43.571428571400006
382,43.5135135135
707,43.5135135135
11,43.428571428599994
572,43.4146341463
113,43.3333333333
890,43.1578947368
280,43.1578947368
855,43.137254901999995
758,43.125
189,43.0508474576
883,43.0303030303
172,42.972972973000005
411,42.9545454545
15,42.9545454545
871,42.9268292683
453,42.8846153846
130,42.8205128205
363,42.8125
684,42.807017543899995
661,42.7272727273
580,42.7027027027
163,42.6829268293
399,42.6666666667
345,42.631578947399994
695,42.631578947399994
16,42.4489795918
42,42.4242424242
757,42.4137931034
709,42.3913043478
301,42.368421052600006
155,42.3529411765
703,42.222222222199996
232,42.1621621622
295,42.1568627451
565,42.1428571429
752,42.0512820513
238,42.0408163265
553,42.0408163265
392,42.0408163265
593,41.9444444444
116,41.8918918919
191,41.8867924528
742,41.842105263200004
722,41.842105263200004
249,41.7948717949
145,41.7307692308
7,41.6666666667
360,41.6666666667
720,41.6666666667
926,41.6666666667
522,41.6216216216
662,41.6216216216
771,41.6216216216
265,41.5789473684
787,41.5789473684
481,41.5517241379
197,41.5384615385
350,41.5094339623
587,41.5094339623
465,41.4035087719
673,41.3513513514
530,41.3461538462
910,41.320754717
740,41.3157894737
118,41.3157894737
144,41.3043478261
621,41.2195121951
664,41.186440678000004
546,41.1111111111
408,41.1111111111
181,41.1111111111
314,41.1111111111
820,41.0810810811
87,40.9756097561
337,40.9756097561
692,40.9615384615
258,40.8333333333
783,40.8333333333
362,40.789473684200004
67,40.7142857143
582,40.6976744186
837,40.6451612903
649,40.5769230769
562,40.5555555556
685,40.512820512800005
850,40.476190476199996
18,40.4347826087
816,40.3773584906
836,40.3773584906
66,40.350877193
893,40.1886792453
260,40.1851851852
371,40.0
874,40.0
613,40.0
541,40.0
571,40.0
447,40.0
188,39.8305084746
561,39.8181818182
499,39.8039215686
616,39.7727272727
687,39.7368421053
927,39.7297297297
882,39.6875
199,39.629629629600004
211,39.5454545455
256,39.482758620700004
912,39.4642857143
333,39.4545454545
106,39.3548387097
309,39.3220338983
99,39.2857142857
41,39.210526315799996
422,39.1525423729
417,39.1379310345
354,39.1111111111
812,39.0566037736
805,38.9830508475
576,38.9655172414
279,38.8461538462
803,38.823529411799996
529,38.813559321999996
285,38.7804878049
221,38.6486486486
852,38.4482758621
739,38.3333333333
208,38.25
799,38.1818181818
853,38.1355932203
784,37.8125
336,37.7966101695
398,37.7419354839
143,37.5438596491
916,37.4074074074
119,36.6071428571
439,36.226415094299995
506,35.7142857143
755,35.3448275862
