,ten
813,50.0
13,49.7826086957
835,49.7619047619
121,49.7619047619
621,49.756097561000004
390,49.75
146,49.5454545455
23,49.512195122
257,49.1428571429
272,49.1428571429
456,49.0909090909
807,49.0476190476
855,49.019607843100005
860,49.0
475,48.9795918367
583,48.947368421099995
801,48.888888888900006
600,48.863636363599994
587,48.679245283
48,48.6538461538
593,48.611111111099994
8,48.611111111099994
26,48.604651162799996
16,48.571428571400006
750,48.571428571400006
793,48.571428571400006
42,48.4848484848
14,48.431372548999995
451,48.4090909091
67,48.3333333333
163,48.292682926800005
815,48.181818181800004
392,48.163265306099994
783,48.125
850,48.0952380952
244,48.048780487799995
7,47.962962963
249,47.9487179487
66,47.8947368421
419,47.8947368421
572,47.8048780488
664,47.7966101695
199,47.7777777778
553,47.7551020408
191,47.735849056599996
684,47.7192982456
297,47.6923076923
499,47.647058823500004
374,47.631578947399994
495,47.631578947399994
757,47.5862068966
481,47.5862068966
629,47.5862068966
580,47.5675675676
707,47.5675675676
125,47.5
37,47.4358974359
620,47.4358974359
113,47.4358974359
894,47.4074074074
565,47.38095238100001
465,47.368421052600006
283,47.368421052600006
742,47.368421052600006
350,47.358490566
812,47.358490566
238,47.3469387755
706,47.3333333333
909,47.3333333333
62,47.321428571400006
285,47.3170731707
382,47.2972972973
312,47.2972972973
155,47.2549019608
181,47.2222222222
287,47.1875
685,47.1794871795
752,47.1794871795
692,47.1153846154
280,47.1052631579
118,47.1052631579
740,47.1052631579
258,47.0833333333
820,47.027027026999995
522,47.027027026999995
324,46.9491525424
805,46.9491525424
735,46.888888888900006
295,46.862745098000005
530,46.7307692308
561,46.7272727273
548,46.6037735849
564,46.5789473684
939,46.5789473684
417,46.5517241379
413,46.5384615385
150,46.4406779661
188,46.4406779661
180,46.4102564103
829,46.388888888900006
881,46.388888888900006
211,46.363636363599994
616,46.363636363599994
197,46.3461538462
722,46.3157894737
33,46.3157894737
345,46.3157894737
566,46.3157894737
673,46.216216216199996
703,46.111111111099994
2,46.111111111099994
336,46.101694915299994
687,46.052631578900005
362,46.052631578900005
208,46.0
771,45.9459459459
912,45.8928571429
18,45.869565217399995
265,45.789473684200004
354,45.7777777778
739,45.7407407407
576,45.689655172399995
662,45.6756756757
279,45.576923076899995
236,45.4716981132
816,45.4716981132
371,45.4545454545
883,45.4545454545
506,45.3571428571
787,45.2631578947
853,45.25423728810001
447,45.15151515149999
803,45.0980392157
836,45.0943396226
916,45.0
422,44.9152542373
927,44.8648648649
852,44.827586206899994
99,44.821428571400006
529,44.74576271189999
41,44.7368421053
233,44.594594594600004
799,44.5454545455
562,44.4444444444
260,44.4444444444
784,44.375
882,44.375
221,44.3243243243
541,44.285714285699996
837,44.1935483871
106,44.1935483871
755,44.1379310345
119,43.928571428599994
439,43.5849056604
398,43.548387096800006
143,43.1578947368
