,500_ten_bef,500_ten_aft,500_twen_bef,500_twen_aft,500_threefive_bef,500_threefive_aft,500_fifty_bef,500_fifty_aft,500_sixty_bef,500_sixty_aft,500_sevenfive_bef,500_sevenfive_aft,500_nine_bef,500_nine_aft
100,1.2592727599158406,1.1543788493611395,1.1629070404184563,1.1059480007993734,1.6000867880018426,1.444602440288954,1.7976780253194988,1.7028959691957843,1.8724522957439025,1.745829212535704,2.192255710066033,2.0529028346231026,1.4389844991480552,1.3749867596109782
110,1.2628419787856566,1.1551193807383167,1.169728904303556,1.109385669558332,1.5994308906228092,1.4533976578284196,1.7873685520646811,1.695755076815243,1.8659300632801323,1.7443509061369569,2.1852417283978225,2.058385168070257,1.431206522254423,1.3743049651322647
120,1.267356141575756,1.1544287335910888,1.1680471092772886,1.1085183989356466,1.6058436884952625,1.4535583972072987,1.783266442818486,1.7015462915612185,1.8636219844321644,1.7357342989786633,2.1695679824107796,2.0649843671031882,1.4384766335802939,1.3818574489893358
130,1.2707732826603475,1.1566157928106306,1.1685661519229504,1.1086311967124034,1.616145751561961,1.452740198127826,1.7819546837076472,1.6958275750122396,1.866954861229081,1.7417808049369463,2.171096145586671,2.0697059382167784,1.434999141781726,1.3818152011468647
140,1.276465211922451,1.1543643568623447,1.1739999306099074,1.1131994388582582,1.6185677993090206,1.4574391467895496,1.7787407713534904,1.6916578023993265,1.8725517093676756,1.740769275907339,2.1708241532995847,2.069893432781319,1.4271888337612566,1.3887554692296473
150,1.2735040314334152,1.1505905090218265,1.1736350501077597,1.1124403092095916,1.6157107687978982,1.4626312343062702,1.7747927359580589,1.6918559445134715,1.86654443326198,1.742708638339669,2.173290476136032,2.0709750336117994,1.4355161308168576,1.3935797168196589
160,1.2718299584275587,1.1494987667186016,1.1707271372395889,1.1145472632609554,1.617052573036502,1.4628072666967404,1.7721005572273116,1.691555314427289,1.869256960354843,1.7378797157967092,2.175892720332658,2.0672304267489734,1.4247821689391456,1.3921736291752003
170,1.2707407537205182,1.1496788969992378,1.1721779804551624,1.1141518292837236,1.619005439623938,1.4614477227907465,1.766523425186011,1.693331446481687,1.8737701033262257,1.7483024395304476,2.1740409920308577,2.079610568059773,1.4175236958794664,1.3920550539896706
180,1.272276270117361,1.147130030127955,1.173292525506333,1.1161148945720547,1.6202415367488736,1.4669024703194757,1.7627428796289626,1.6869102701789924,1.877222816385108,1.7397841631595123,2.1755771136919226,2.0667056274897493,1.4190233856677792,1.3885366587837675
190,1.276686227845765,1.1482282996402309,1.1725274819536526,1.112358667759092,1.6179259091286575,1.4627454018216592,1.7671359215900404,1.684829327074843,1.8772589899391914,1.73322177576004,2.1688503089157023,2.072337146520635,1.4188005628810365,1.3898749800325538
200,1.2766490546446605,1.1452936041491761,1.1743026428748937,1.1126857515516213,1.6213667724303154,1.4659866832322987,1.766278116727338,1.6806033717347977,1.881428457289393,1.7365645288064382,2.1694359504605427,2.07493189594684,1.4087847788020196,1.3883060978678154
210,1.2762310527573333,1.1471905684535908,1.1744869155866111,1.11230546109133,1.6213148700678544,1.4650989378477777,1.7672085108158329,1.6793434837535084,1.886815557122112,1.7392534768533758,2.1686637573110312,2.074387430476027,1.4087740007171246,1.383947834537663
220,1.2793724289809234,1.1460366347664015,1.1716917602246433,1.1116836883801142,1.6181404764239375,1.462944966125741,1.7678837799037506,1.6784343503125194,1.882533126690016,1.7363015269503779,2.1695023665406983,2.062774613358181,1.4057313371673417,1.3843963956032381
230,1.2793001802944526,1.146581877491951,1.1727575443955431,1.1127232168774517,1.6191930413264957,1.4609209141038448,1.7610987011524062,1.6762050330059968,1.8826853667247454,1.727682911174419,2.164152227911497,2.0653598277075376,1.4102702384103982,1.3820489712186514
240,1.2777649572105931,1.146350845775763,1.1715354907427558,1.112825407069232,1.6168896782052706,1.4613077845996127,1.762384640059136,1.6779362523369954,1.8817931238448504,1.7259543767485903,2.158958532041971,2.0678057913672148,1.4028442786121913,1.3750481068320404
250,1.2782364947855556,1.1449134793859688,1.170399005108424,1.1123271880690564,1.6182203384233673,1.463379156640807,1.7627471053369939,1.6793006368163337,1.880185325581766,1.7280109523907599,2.1580681559221113,2.075653927786157,1.4026760824533917,1.3719990938514521
260,1.2761940433657235,1.1443221245372808,1.1717357669367532,1.1135329654180346,1.6213047689673021,1.4648093183054969,1.76033808009931,1.6801936921799958,1.8794906594291285,1.7322607831778287,2.1592617853774425,2.069173430578879,1.4039034693703654,1.3744731760477096
270,1.2750676958243963,1.1418090684943167,1.1705234622771772,1.1151039640009834,1.6163994365935936,1.4637122551134576,1.7562853170339423,1.6776640578558337,1.8765044171556382,1.7316475844367647,2.160044894887421,2.0638558423821523,1.4044316273901383,1.3794914471613982
280,1.2757995014424208,1.1431575335523922,1.170246170978286,1.1151055732815796,1.6138957197481814,1.4617616378221894,1.7616150559403871,1.6776647695290356,1.8730629934189,1.731050524019248,2.1589403562623812,2.0638710129393365,1.4083005010798857,1.3829141630597868
290,1.275197354212296,1.1396728340152393,1.168000668432292,1.1139695791108888,1.6141166003184633,1.45829372332736,1.7588010702765677,1.6748828668787665,1.8722803914101331,1.7269714340419455,2.160040614935231,2.063524177584113,1.4106009405429485,1.3838887978705918
